Time,X,Y,Z,Vx,Vy,Vz,dVel_X,dVel_Y,dVel_Z,Alt(m)
   218.000,-3203153.98,3825443.11,4002003.48,  -1374.54,  -1616.08,   -288.91,     -8.97,   8.45316,  10.59021,  26371.97
   219.000,-3204541.50,3823840.20,4001730.52,  -1383.19,  -1607.30,   -278.28,     -8.65,   8.78283,  10.63054,  25937.70
   220.000,-3205937.17,3822246.56,4001468.24,  -1391.51,  -1598.19,   -267.61,     -8.33,   9.11158,  10.66627,  25520.43
   221.000,-3207340.68,3820662.53,4001216.68,  -1399.51,  -1588.75,   -256.91,     -7.99,   9.43839,  10.69667,  25120.22
   222.000,-3208751.67,3819088.43,4000975.84,  -1407.16,  -1578.99,   -246.19,     -7.66,   9.76214,  10.72151,  24737.09
   223.000,-3210169.80,3817524.56,4000745.76,  -1414.48,  -1568.91,   -235.45,     -7.31,  10.08166,  10.74060,  24371.07
   224.000,-3211594.72,3815971.25,4000526.44,  -1421.44,  -1558.51,   -224.70,     -6.97,  10.39578,  10.75378,  24022.18
   225.000,-3213026.09,3814428.79,4000317.88,  -1428.06,  -1547.81,   -213.94,     -6.62,  10.70329,  10.76091,  23690.43
   226.000,-3214463.55,3812897.49,4000120.09,  -1434.32,  -1536.80,   -203.18,     -6.27,  11.00302,  10.76190,  23375.80
   227.000,-3215906.75,3811377.62,3999933.05,  -1440.24,  -1525.51,   -192.42,     -5.92,  11.29381,  10.75668,  23078.29
   228.000,-3217355.34,3809869.47,3999756.75,  -1445.81,  -1513.94,   -181.67,     -5.57,  11.57454,  10.74525,  22797.88
   229.000,-3218808.97,3808373.30,3999591.17,  -1451.03,  -1502.09,   -170.95,     -5.22,  11.84412,  10.72763,  22534.53
   230.000,-3220267.31,3806889.37,3999436.28,  -1455.90,  -1489.99,   -160.24,     -4.88,  12.10154,  10.70389,  22288.19
   231.000,-3221730.02,3805417.89,3999292.05,  -1460.44,  -1477.64,   -149.57,     -4.54,  12.34589,  10.67414,  22058.82
   232.000,-3223196.77,3803959.11,3999158.44,  -1464.65,  -1465.07,   -138.93,     -4.21,  12.57630,  10.63853,  21846.36
   233.000,-3224667.24,3802513.23,3999035.40,  -1468.53,  -1452.28,   -128.33,     -3.88,  12.79205,  10.59726,  21650.73
   234.000,-3226141.12,3801080.45,3998922.90,  -1472.10,  -1439.28,   -117.78,     -3.57,  12.99248,  10.55056,  21471.86
   235.000,-3227618.11,3799660.93,3998820.86,  -1475.36,  -1426.11,   -107.28,     -3.26,  13.17710,  10.49870,  21309.65
   236.000,-3229097.91,3798254.84,3998729.24,  -1478.32,  -1412.76,    -96.84,     -2.97,  13.34548,  10.44198,  21164.02
   237.000,-3230580.25,3796862.32,3998647.97,  -1481.00,  -1399.26,    -86.46,     -2.68,  13.49737,  10.38073,  21034.87
   238.000,-3232064.87,3795483.51,3998576.99,  -1483.41,  -1385.63,    -76.14,     -2.41,  13.63260,  10.31531,  20922.08
   239.000,-3233551.51,3794118.50,3998516.21,  -1485.56,  -1371.88,    -65.90,     -2.15,  13.75116,  10.24609,  20825.54
   240.000,-3235039.93,3792767.40,3998465.57,  -1487.47,  -1358.03,    -55.73,     -1.91,  13.85313,  10.17347,  20745.14
   241.000,-3236529.92,3791430.28,3998424.99,  -1489.15,  -1344.09,    -45.63,     -1.68,  13.93872,  10.09784,  20680.75
   242.000,-3238021.25,3790107.21,3998394.39,  -1490.61,  -1330.08,    -35.61,     -1.46,  14.00826,  10.01961,  20632.25
   243.000,-3239513.75,3788798.22,3998373.70,  -1491.87,  -1316.02,    -25.67,     -1.26,  14.06218,   9.93919,  20599.50
   244.000,-3241007.22,3787503.36,3998362.81,  -1492.94,  -1301.92,    -15.81,     -1.07,  14.10099,   9.85699,  20582.38
   245.000,-3242501.51,3786222.63,3998361.66,  -1493.84,  -1287.79,     -6.04,     -0.90,  14.12531,   9.77340,  20580.74
   246.000,-3244156.79,3785179.99,3998591.72,  -1601.47,  -1124.36,    151.36,   -107.63, 163.43587, 157.40011,  20947.14
   247.000,-3245743.42,3784058.14,3998737.74,  -1591.58,  -1122.68,    147.80,      9.89,   1.67289,  -3.56015,  21179.76
   248.000,-3247321.27,3782938.84,3998881.31,  -1582.42,  -1120.43,    144.98,      9.15,   2.25577,  -2.82103,  21408.48
   249.000,-3248890.36,3781821.57,3999022.12,  -1573.54,  -1118.32,    142.20,      8.89,   2.10446,  -2.78050,  21632.81
   250.000,-3250450.95,3780706.20,3999160.22,  -1564.91,  -1116.36,    139.46,      8.63,   1.96461,  -2.73945,  21852.81
   251.000,-3252003.28,3779592.59,3999295.63,  -1556.52,  -1114.53,    136.76,      8.39,   1.83258,  -2.70057,  22068.54
   252.000,-3253547.56,3778480.63,3999428.39,  -1548.36,  -1112.82,    134.10,      8.16,   1.70783,  -2.66372,  22280.06
   253.000,-3255084.00,3777370.19,3999558.54,  -1540.42,  -1111.23,    131.47,      7.94,   1.58987,  -2.62874,  22487.43
   254.000,-3256612.81,3776261.18,3999686.12,  -1532.68,  -1109.75,    128.87,      7.74,   1.47825,  -2.59551,  22690.68
   255.000,-3258134.17,3775153.49,3999811.14,  -1525.13,  -1108.38,    126.31,      7.54,   1.37254,  -2.56391,  22889.89
   256.000,-3259648.26,3774047.02,3999933.65,  -1517.77,  -1107.10,    123.77,      7.36,   1.27235,  -2.53384,  23085.08
   257.000,-3261155.25,3772941.69,4000053.67,  -1510.59,  -1105.93,    121.27,      7.18,   1.17734,  -2.50520,  23276.30
   258.000,-3262655.32,3771837.39,4000171.22,  -1503.57,  -1104.84,    118.79,      7.02,   1.08718,  -2.47789,  23463.61
   259.000,-3264148.60,3770734.05,4000286.33,  -1496.71,  -1103.84,    116.34,      6.86,   1.00155,  -2.45183,  23647.03
   260.000,-3265635.25,3769631.59,4000399.03,  -1490.00,  -1102.92,    113.91,      6.71,   0.92019,  -2.42694,  23826.60
   261.000,-3267115.40,3768529.94,4000509.34,  -1483.44,  -1102.08,    111.51,      6.56,   0.84284,  -2.40315,  24002.37
   262.000,-3268589.20,3767429.02,4000617.28,  -1477.01,  -1101.31,    109.13,      6.43,   0.76925,  -2.38040,  24174.37
   263.000,-3270056.77,3766328.76,4000722.87,  -1470.72,  -1100.61,    106.77,      6.30,   0.69920,  -2.35862,  24342.63
   264.000,-3271518.23,3765229.10,4000826.13,  -1464.55,  -1099.97,    104.43,      6.17,   0.63249,  -2.33775,  24507.19
   265.000,-3272973.70,3764129.98,4000927.09,  -1458.50,  -1099.41,    102.11,      6.05,   0.56892,  -2.31775,  24668.07
   266.000,-3274423.29,3763031.34,4001025.76,  -1452.56,  -1098.90,     99.82,      5.94,   0.50832,  -2.29856,  24825.31
   267.000,-3275867.11,3761933.12,4001122.15,  -1446.73,  -1098.45,     97.54,      5.83,   0.45051,  -2.28013,  24978.93
   268.000,-3277305.26,3760835.26,4001216.30,  -1441.01,  -1098.05,     95.27,      5.72,   0.39536,  -2.26243,  25128.96
   269.000,-3278737.83,3759737.73,4001308.20,  -1435.39,  -1097.71,     93.03,      5.62,   0.34270,  -2.24541,  25275.44
   270.000,-3280164.92,3758640.46,4001397.89,  -1429.86,  -1097.42,     90.80,      5.53,   0.29241,  -2.22904,  25418.38
   271.000,-3281586.63,3757543.41,4001485.37,  -1424.42,  -1097.17,     88.59,      5.43,   0.24437,  -2.21328,  25557.81
   272.000,-3283003.03,3756446.53,4001570.66,  -1419.08,  -1096.97,     86.39,      5.35,   0.19844,  -2.19810,  25693.75
   273.000,-3284414.22,3755349.79,4001653.77,  -1413.81,  -1096.82,     84.20,      5.26,   0.15454,  -2.18347,  25826.22
   274.000,-3285820.26,3754253.14,4001734.72,  -1408.63,  -1096.71,     82.04,      5.18,   0.11255,  -2.16935,  25955.26
   275.000,-3287221.24,3753156.54,4001813.52,  -1403.53,  -1096.63,     79.88,      5.10,   0.07237,  -2.15574,  26080.87
   276.000,-3288617.23,3752059.96,4001890.19,  -1398.50,  -1096.60,     77.74,      5.03,   0.03393,  -2.14259,  26203.08
   277.000,-3290008.30,3750963.36,4001964.73,  -1393.55,  -1096.60,     75.61,      4.96,  -0.00287,  -2.12988,  26321.92
   278.000,-3291394.52,3749866.70,4002037.16,  -1388.66,  -1096.64,     73.49,      4.89,  -0.03811,  -2.11760,  26437.39
   279.000,-3292775.95,3748769.95,4002107.49,  -1383.84,  -1096.71,     71.38,      4.82,  -0.07185,  -2.10573,  26549.51
   280.000,-3294152.66,3747673.08,4002175.73,  -1379.09,  -1096.82,     69.29,      4.76,  -0.10417,  -2.09424,  26658.32
   281.000,-3295524.70,3746576.06,4002241.90,  -1374.39,  -1096.95,     67.21,      4.69,  -0.13512,  -2.08311,  26763.81
   282.000,-3296892.14,3745478.86,4002305.99,  -1369.76,  -1097.12,     65.13,      4.63,  -0.16478,  -2.07233,  26866.02
   283.000,-3298255.03,3744381.45,4002368.03,  -1365.18,  -1097.31,     63.07,      4.58,  -0.19320,  -2.06188,  26964.95
   284.000,-3299613.43,3743283.81,4002428.03,  -1360.66,  -1097.53,     61.02,      4.52,  -0.22043,  -2.05175,  27060.63
   285.000,-3300967.39,3742185.91,4002485.99,  -1356.19,  -1097.78,     58.98,      4.47,  -0.24652,  -2.04192,  27153.06
   286.000,-3302316.95,3741087.73,4002541.92,  -1351.77,  -1098.05,     56.95,      4.42,  -0.27152,  -2.03238,  27242.26
   287.000,-3303662.17,3739989.24,4002595.83,  -1347.40,  -1098.34,     54.92,      4.37,  -0.29547,  -2.02312,  27328.25
   288.000,-3305003.09,3738890.41,4002647.73,  -1343.08,  -1098.66,     52.91,      4.32,  -0.31842,  -2.01412,  27411.04
   289.000,-3306339.77,3737791.24,4002697.63,  -1338.81,  -1099.00,     50.90,      4.27,  -0.34040,  -2.00537,  27490.65
   290.000,-3307672.23,3736691.70,4002745.54,  -1334.58,  -1099.36,     48.91,      4.23,  -0.36145,  -1.99686,  27567.08
   291.000,-3309000.53,3735591.76,4002791.46,  -1330.39,  -1099.75,     46.92,      4.19,  -0.38160,  -1.98858,  27640.36
   292.000,-3310324.70,3734491.41,4002835.41,  -1326.25,  -1100.15,     44.94,      4.15,  -0.40089,  -1.98052,  27710.48
   293.000,-3311644.79,3733390.64,4002877.39,  -1322.14,  -1100.57,     42.96,      4.11,  -0.41935,  -1.97267,  27777.48
   294.000,-3312960.83,3732289.41,4002917.40,  -1318.07,  -1101.00,     41.00,      4.07,  -0.43700,  -1.96503,  27841.35
   295.000,-3314272.86,3731187.73,4002955.47,  -1314.04,  -1101.46,     39.04,      4.03,  -0.45387,  -1.95758,  27902.11
   296.000,-3315580.91,3730085.57,4002991.58,  -1310.05,  -1101.93,     37.09,      3.99,  -0.46999,  -1.95031,  27959.77
   297.000,-3316885.02,3728982.91,4003025.76,  -1306.09,  -1102.41,     35.15,      3.96,  -0.48537,  -1.94322,  28014.35
   298.000,-3318185.23,3727879.75,4003058.01,  -1302.16,  -1102.91,     33.21,      3.93,  -0.50005,  -1.93630,  28065.85
   299.000,-3319481.55,3726776.07,4003088.32,  -1298.27,  -1103.43,     31.28,      3.89,  -0.51403,  -1.92954,  28114.28
   300.000,-3320774.03,3725671.85,4003116.72,  -1294.41,  -1103.95,     29.36,      3.86,  -0.52735,  -1.92294,  28159.65
   301.000,-3322062.69,3724567.09,4003143.21,  -1290.58,  -1104.49,     27.44,      3.83,  -0.54001,  -1.91649,  28201.98
   302.000,-3323347.56,3723461.76,4003167.78,  -1286.77,  -1105.05,     25.53,      3.80,  -0.55155,  -1.91019,  28241.28
   303.000,-3324628.67,3722355.88,4003190.46,  -1283.00,  -1105.61,     23.63,      3.78,  -0.56247,  -1.90403,  28277.55
   304.000,-3325906.04,3721249.41,4003211.24,  -1279.25,  -1106.18,     21.73,      3.75,  -0.57280,  -1.89800,  28310.80
   305.000,-3327179.70,3720142.35,4003230.14,  -1275.52,  -1106.76,     19.84,      3.72,  -0.58254,  -1.89209,  28341.04
   306.000,-3328449.67,3719034.70,4003247.15,  -1271.82,  -1107.35,     17.95,      3.70,  -0.59171,  -1.88630,  28368.29
   307.000,-3329715.98,3717926.45,4003262.28,  -1268.15,  -1107.96,     16.07,      3.68,  -0.60032,  -1.88062,  28392.55
   308.000,-3330978.65,3716817.58,4003275.54,  -1264.50,  -1108.56,     14.20,      3.65,  -0.60837,  -1.87505,  28413.82
   309.000,-3332237.70,3715708.09,4003286.93,  -1260.86,  -1109.18,     12.33,      3.63,  -0.61586,  -1.86958,  28432.13
   310.000,-3333493.15,3714597.98,4003296.46,  -1257.25,  -1109.80,     10.46,      3.61,  -0.62282,  -1.86421,  28447.47
   311.000,-3334745.02,3713487.23,4003304.14,  -1253.67,  -1110.43,      8.60,      3.59,  -0.62924,  -1.85893,  28459.85
   312.000,-3335993.33,3712375.85,4003309.96,  -1250.10,  -1111.07,      6.75,      3.57,  -0.63513,  -1.85374,  28469.29
   313.000,-3337238.10,3711263.82,4003313.94,  -1246.55,  -1111.71,      4.90,      3.55,  -0.64049,  -1.84863,  28475.80
   314.000,-3338479.35,3710151.15,4003316.07,  -1243.01,  -1112.35,      3.06,      3.53,  -0.64533,  -1.84361,  28479.37
   315.000,-3339717.09,3709037.82,4003316.37,  -1239.50,  -1113.00,      1.22,      3.52,  -0.64965,  -1.83866,  28480.01
   316.000,-3340951.34,3707923.84,4003314.84,  -1236.00,  -1113.66,     -0.61,      3.50,  -0.65345,  -1.83378,  28477.74
   317.000,-3342182.11,3706809.20,4003311.49,  -1232.51,  -1114.31,     -2.44,      3.48,  -0.65674,  -1.82897,  28472.57
   318.000,-3343409.42,3705693.89,4003306.31,  -1229.05,  -1114.97,     -4.27,      3.47,  -0.65950,  -1.82422,  28464.49
   319.000,-3344633.29,3704577.93,4003299.31,  -1225.59,  -1115.63,     -6.09,      3.45,  -0.66175,  -1.81954,  28453.52
   320.000,-3345831.42,3703437.25,4003264.02,  -1207.29,  -1132.33,    -25.55,     18.30, -16.69694, -19.46688,  28397.52
   321.000,-3347010.88,3702280.41,4003209.38,  -1188.74,  -1148.67,    -44.95,     18.55, -16.34179, -19.39199,  28310.71
   322.000,-3348171.37,3701107.73,4003135.43,  -1169.91,  -1164.67,    -64.28,     18.83, -16.00076, -19.33866,  28193.16
   323.000,-3349312.62,3699919.58,4003042.22,  -1150.80,  -1180.33,    -83.57,     19.11, -15.65239, -19.28369,  28044.96
   324.000,-3350434.33,3698716.31,4002929.81,  -1131.41,  -1195.62,   -102.79,     19.39, -15.29589, -19.22663,  27866.20
   325.000,-3351536.22,3697498.30,4002798.26,  -1111.73,  -1210.55,   -121.96,     19.68, -14.93039, -19.16697,  27656.98
   326.000,-3352618.00,3696265.91,4002647.65,  -1091.76,  -1225.11,   -141.07,     19.97, -14.55487, -19.10413,  27417.40
   327.000,-3353679.36,3695019.55,4002478.03,  -1071.49,  -1239.27,   -160.10,     20.27, -14.16820, -19.03750,  27147.56
   328.000,-3354720.00,3693759.63,4002289.47,  -1050.93,  -1253.04,   -179.07,     20.57, -13.76909, -18.96637,  26847.59
   329.000,-3355739.62,3692486.55,4002082.07,  -1030.05,  -1266.40,   -197.96,     20.87, -13.35610, -18.88997,  26517.62
   330.000,-3356737.90,3691200.76,4001855.90,  -1008.87,  -1279.33,   -216.77,     21.18, -12.92759, -18.80742,  26157.77
   331.000,-3357714.53,3689902.71,4001611.05,   -987.37,  -1291.81,   -235.48,     21.50, -12.48170, -18.71773,  25768.20
   332.000,-3358669.17,3688592.87,4001347.64,   -965.56,  -1303.83,   -254.10,     21.82, -12.01634, -18.61977,  25349.07
   333.000,-3359601.51,3687271.75,4001065.77,   -943.41,  -1315.35,   -272.62,     22.14, -11.52913, -18.51225,  24900.55
   334.000,-3360511.21,3685939.87,4000765.56,   -920.93,  -1326.37,   -291.01,     22.48, -11.01736, -18.39371,  24422.85
   335.000,-3361397.92,3684597.78,4000447.15,   -898.12,  -1336.85,   -309.27,     22.81, -10.47797, -18.26245,  23916.18
   336.000,-3362261.30,3683246.07,4000110.71,   -874.96,  -1346.76,   -327.39,     23.16,  -9.90747, -18.11654,  23380.79
   337.000,-3363101.01,3681885.36,3999756.39,   -851.46,  -1356.06,   -345.34,     23.51,  -9.30190, -17.95374,  22816.95
   338.000,-3363916.67,3680516.32,3999384.39,   -827.59,  -1364.72,   -363.11,     23.86,  -8.65676, -17.77151,  22224.97
   339.000,-3364707.92,3679139.65,3998994.92,   -803.36,  -1372.68,   -380.68,     24.23,  -7.96692, -17.56686,  21605.18
   340.000,-3365474.38,3677756.13,3998588.23,   -778.77,  -1379.91,   -398.02,     24.60,  -7.22659, -17.33641,  20957.98
   341.000,-3366215.69,3676366.57,3998164.60,   -753.79,  -1386.34,   -415.09,     24.97,  -6.42919, -17.07622,  20283.81
   342.000,-3366931.45,3674971.88,3997724.34,   -728.44,  -1391.91,   -431.88,     25.36,  -5.56726, -16.78179,  19583.15
   343.000,-3367621.25,3673573.06,3997267.80,   -702.68,  -1396.52,   -448.32,     25.76,  -4.60997, -16.44095,  18856.60
   344.000,-3368284.67,3672171.23,3996795.41,   -676.51,  -1400.06,   -464.36,     26.17,  -3.54643, -16.04616,  18104.81
   345.000,-3368921.28,3670767.60,3996307.66,   -649.91,  -1402.44,   -479.96,     26.60,  -2.37780, -15.59350,  17328.56
   346.000,-3369530.64,3669363.52,3995805.09,   -622.88,  -1403.53,   -495.03,     27.03,  -1.09014, -15.07407,  16528.73
   347.000,-3370112.34,3667960.49,3995288.34,   -595.42,  -1403.20,   -509.51,     27.46,   0.33184, -14.47768,  15706.33
   348.000,-3370665.92,3666560.15,3994758.15,   -567.53,  -1401.29,   -523.30,     27.89,   1.90464, -13.79292,  14862.51
   349.000,-3371190.97,3665164.32,3994215.33,   -539.21,  -1397.65,   -536.31,     28.32,   3.64556, -13.00722,  13998.61
   350.000,-3371687.07,3663775.03,3993660.86,   -510.47,  -1392.08,   -548.42,     28.74,   5.57212, -12.10706,  13116.15
   351.000,-3372153.82,3662394.51,3993095.83,   -481.32,  -1384.38,   -559.49,     29.15,   7.70120, -11.07823,  12216.87
   352.000,-3372590.86,3661025.20,3992521.48,   -451.80,  -1374.33,   -569.40,     29.52,  10.04763,  -9.90648,  11302.75
   353.000,-3372997.88,3659669.81,3991939.21,   -421.95,  -1361.71,   -577.98,     29.86,  12.62242,  -8.57834,  10376.03
   354.000,-3373374.82,3658330.60,3991350.33,   -391.94,  -1346.71,   -585.25,     30.00,  14.99431,  -7.26747,   9438.78
   355.000,-3373721.77,3657009.74,3990756.15,   -361.95,  -1329.47,   -591.20,     30.00,  17.23621,  -5.95340,   8493.10
   356.000,-3374038.87,3655709.53,3990158.10,   -332.05,  -1309.96,   -595.77,     29.90,  19.51242,  -4.56734,   7541.25
   357.000,-3374326.38,3654432.27,3989557.66,   -302.35,  -1288.16,   -598.88,     29.69,  21.80243,  -3.11553,   6585.58
   358.000,-3374584.67,3653180.24,3988956.37,   -272.98,  -1264.08,   -600.49,     29.37,  24.08089,  -1.60872,   5628.55
   359.000,-3374814.24,3651955.64,3988355.79,   -244.04,  -1237.76,   -600.55,     28.94,  26.32009,  -0.05994,   4672.66
   360.000,-3375015.72,3650760.61,3987757.51,   -215.67,  -1209.27,   -599.04,     28.38,  28.49043,   1.51558,   3720.42
   361.000,-3375189.86,3649597.19,3987163.13,   -187.98,  -1178.71,   -595.93,     27.69,  30.56112,   3.10060,   2774.38
   362.000,-3375337.47,3648467.55,3986574.36,   -161.07,  -1146.00,   -591.15,     26.91,  32.71108,   4.78250,   1837.29
   363.000,-3375459.53,3647373.64,3985992.90,   -135.06,  -1111.27,   -584.69,     26.00,  34.72814,   6.45771,    911.80
   364.000,-3375557.15,3646317.16,3985420.31,   -110.10,  -1074.74,   -576.62,     24.96,  36.52314,   8.07370,      0.45
   365.000,-3375631.55,3645299.50,3984858.09,    -86.30,  -1036.69,   -567.02,     23.81,  38.05569,   9.60054,   -894.41
